,name,barcode
0,Long Life Full Cream Milk 6 x 1 L,6009171091446
1,Long Life Low Fat Milk 6 x 1 L,6009171091460
2,Light Brown Sugar 2 Kg,6001009023964
3,Five Roses® Smooth Ceylon Blend Tagless Tea Bags 102 Pk,6001156230253
4,White Sugar 2.5 Kg,20003272
5,Light Meat Tuna Shredded in Brine 170g,6009195372286
6,Baked Beans 410g,20002480
7,Spaghetti 500 g,6009178658413
8,Chuckles Malted Puffs Bulk Pack 250 g,20125998
9,Mediterranean Extra Virgin Olive Oil 1 L,6009184388632
10,Macaroni 500 g,6009178658444
11,Jacobs Krönung Instant Coffee 200 g,7622300001568
12,Tomato & Onion Mix 410g,20034702
13,Penne Pasta 500 g,20074555
14,Diced Tomatoes 400g,20108809
15,Long Life Fat Free Milk 6 x 1 L,6009171091439
16,Peeled & Diced Tomatoes 410g,6009101984695
17,Jungle Oats 1 Kg,6001275000003
18,All Gold Tomato Sauce 500 ml,6001059940709
19,Tangy Mayonnaise 750 g,20130732
20,Chickpeas in Brine 400g,20181673
21,Lucky Star Pilchards in Tomato Sauce 400g,6001115001535
22,Roasted & Salted Peanuts & Raisins 450g,6009178950210
23,Canola Oil 2 L,6001009029058
24,Breakfast Muesli 1 Kg,20101671
25,Crosse & Blackwell Tangy Mayonnaise 750 g,6009522301262
26,Assorted Savoury Crackers 250 g,6009101884377
27,Bakers Original Blue Label Marie Biscuits 200 g,6001056453004
28,All Gold Tomato Sauce 700 ml,60019578
29,Vanilla Flavoured Custard 1 L,6009173777171
30,Nescafé Ricoffy Instant Coffee 750 g,6001068323500
31,Penne Pasta 500 g,6009189404924
32,Fusilli Pasta 500 g,20074579
33,Tastic Rice 2 Kg,6001231000191
34,Light Brown Sugar 1Kg,20104061
35,Mango Strips 200g,6009178983812
36,Mrs H.S.Ball's Original Chutney 470 g,6001092500052
37,John West Light Meat Shredded Tuna in Salt Water 170g,6001030004536
38,Bakers Original Tennis Biscuits 200 g,6001056662000
39,Tangy Light Mayonnaise 790 g,6008000440578
40,Bakers Original Eet-Sum-Mor Biscuits 200 g,6001056201001
41,Koo Baked Beans 410g,6009522300586
